Mouse_Gene_Symbol,Mouse_Ensembl_ID,Human_Gene_Symbol,Human_Ensembl_ID,Homology_Type,Confidence,Percent_ID
Erg28,ENSMUSG00000021252,,ENSG00000133935,ortholog_one2one,[],97.8571
Dele1,ENSMUSG00000024442,,ENSG00000081791,ortholog_one2one,[],73.0097
Sanbr,ENSMUSG00000042208,,ENSG00000162929,ortholog_one2one,[],88.5794
0610010K14Rik,ENSMUSG00000020831,,ENSG00000258315,ortholog_one2one,[],94.186
Mettl26,ENSMUSG00000025731,,ENSG00000130731,ortholog_one2one,[],86.2745
0610030E20Rik,ENSMUSG00000058706,,ENSG00000168887,ortholog_one2one,[],83.1325
Czib,ENSMUSG00000028608,,ENSG00000162384,ortholog_one2one,[],93.75
0610040J01Rik,ENSMUSG00000060512,,ENSG00000154274,ortholog_one2one,[],57.3248
Fmc1,ENSMUSG00000019689,,ENSG00000164898,ortholog_one2one,[],92.9204
Cfap298,ENSMUSG00000022972,,ENSG00000159079,ortholog_one2one,[],92.4138
1110004F10Rik,ENSMUSG00000030663,,ENSG00000110696,ortholog_one2one,[],95.082
Card19,ENSMUSG00000037960,,ENSG00000165233,ortholog_one2one,[],90.1639
Rab5if,ENSMUSG00000027637,,ENSG00000101084,ortholog_one2one,[],98.4496
Prorp,ENSMUSG00000021023,,ENSG00000100890,ortholog_one2one,[],77.3585
Bbln,ENSMUSG00000039195,,ENSG00000171159,ortholog_one2one,[],93.9759
1110017D15Rik,ENSMUSG00000028441,,ENSG00000164972,ortholog_one2one,[],75.9542
Cfap68,ENSMUSG00000037971,,ENSG00000137720,ortholog_one2one,[],74.6667
1110032F04Rik,ENSMUSG00000046999,,ENSG00000180044,ortholog_one2one,[],91.9028
Shld1,ENSMUSG00000044991,,ENSG00000171984,ortholog_one2one,[],62.439
Virma,ENSMUSG00000040720,,ENSG00000164944,ortholog_one2one,[],95.6954
1110038F14Rik,ENSMUSG00000063236,,ENSG00000182307,ortholog_one2one,[],63.7555
Cstpp1,ENSMUSG00000040591,,ENSG00000149179,ortholog_one2one,[],93.6556
1110059E24Rik,ENSMUSG00000035171,,ENSG00000155621,ortholog_one2one,[],80.8917
1110059G10Rik,ENSMUSG00000032551,,ENSG00000163807,ortholog_one2one,[],88.3117
1110065P20Rik,ENSMUSG00000078570,,ENSG00000197982,ortholog_one2one,[],82.7273
Dipk2a,ENSMUSG00000045414,,ENSG00000181744,ortholog_one2one,[],97.6744
1190005I06Rik,ENSMUSG00000043687,,ENSG00000154102,ortholog_one2one,[],73.6842
Ncbp3,ENSMUSG00000020783,,ENSG00000074356,ortholog_one2one,[],94.5161
1500009L16Rik,ENSMUSG00000087651,,ENSG00000235162,ortholog_one2one,[],85.7143
Mtln,ENSMUSG00000051319,,ENSG00000175701,ortholog_one2one,[],94.6429
Ecrg4,ENSMUSG00000026051,,ENSG00000119147,ortholog_one2one,[],83.7838
Tedc2,ENSMUSG00000024118,,ENSG00000162062,ortholog_one2one,[],62.1247
Fam174c,ENSMUSG00000035595,,ENSG00000228300,ortholog_one2one,[],51.5152
1600012H06Rik,ENSMUSG00000050088,,ENSG00000185127,ortholog_one2one,[],73.2984
1600014C10Rik,ENSMUSG00000054676,,ENSG00000131943,ortholog_one2one,[],81.5603
1700001O22Rik,ENSMUSG00000044320,,ENSG00000179058,ortholog_one2one,[],41.2993
1700003E16Rik,ENSMUSG00000030030,,ENSG00000284308,ortholog_one2one,[],51.2195
Cfap206,ENSMUSG00000028294,,ENSG00000272514,ortholog_one2one,[],79.9035
Iqcm,ENSMUSG00000031620,,ENSG00000234828,ortholog_one2one,[],59.0818
Cfap299,ENSMUSG00000057816,,ENSG00000197826,ortholog_one2one,[],84.5494
Pierce1,ENSMUSG00000026831,,ENSG00000160345,ortholog_one2one,[],73.5294
1700008O03Rik,ENSMUSG00000008028,,ENSG00000235034,ortholog_one2one,[],78.2828
1700010I14Rik,ENSMUSG00000023873,,ENSG00000112539,ortholog_one2one,[],53.5181
ccdc198,ENSMUSG00000021850,,ENSG00000100557,ortholog_one2one,[],62.8378
Ccdc192,ENSMUSG00000058925,,ENSG00000230561,ortholog_one2one,[],53.4799
1700016C15Rik,ENSMUSG00000015962,,ENSG00000173728,ortholog_one2one,[],65.9864
1700017B05Rik,ENSMUSG00000032300,,ENSG00000167173,ortholog_one2one,[],75.5492
1700019D03Rik,ENSMUSG00000043629,,ENSG00000187699,ortholog_one2one,[],57.8947
1700019N19Rik,ENSMUSG00000026931,,ENSG00000165863,ortholog_one2one,[],60.6838
Nscme3l,ENSMUSG00000100937,,ENSG00000185115,ortholog_one2one,[],64.4737
Mtres1,ENSMUSG00000019797,,ENSG00000130349,ortholog_one2one,[],78.75
Rubcn,ENSMUSG00000035629,,ENSG00000145016,ortholog_one2one,[],85.0823
1700022I11Rik,ENSMUSG00000028451,,ENSG00000174038,ortholog_one2one,[],48.4708
Fyb2,ENSMUSG00000078612,,ENSG00000187889,ortholog_one2one,[],57.967
1700025G04Rik,ENSMUSG00000032666,,ENSG00000116667,ortholog_one2one,[],96.6942
Cfap95,ENSMUSG00000033053,,ENSG00000204711,ortholog_one2one,[],62.4454
Frey1,ENSMUSG00000044916,,ENSG00000234776,ortholog_one2one,[],81.6327
1700029J07Rik,ENSMUSG00000071103,,ENSG00000205129,ortholog_one2one,[],76.699
1700030J22Rik,ENSMUSG00000031847,,ENSG00000166455,ortholog_one2one,[],55.1899
1700030K09Rik,ENSMUSG00000052794,,ENSG00000105072,ortholog_one2one,[],48.7062
1700037C18Rik,ENSMUSG00000005983,,ENSG00000215131,ortholog_one2one,[],71.978
1700037H04Rik,ENSMUSG00000027327,,ENSG00000101220,ortholog_one2one,[],90.2299
Cabcoco1,ENSMUSG00000019945,,ENSG00000183346,ortholog_one2one,[],68.9189
Smim33,ENSMUSG00000073598,,ENSG00000283288,ortholog_one2one,[],59.8485
1700066M21Rik,ENSMUSG00000038323,,ENSG00000178074,ortholog_one2one,[],76.8831
1700067K01Rik,ENSMUSG00000046408,,ENSG00000188032,ortholog_one2one,[],79.8883
1700088E04Rik,ENSMUSG00000033029,,ENSG00000128346,ortholog_one2one,[],80.6452
Cfap77,ENSMUSG00000079502,,ENSG00000188523,ortholog_one2one,[],87.6761
1700102P08Rik,ENSMUSG00000032611,,ENSG00000188315,ortholog_one2one,[],75.6554
Lrmda,ENSMUSG00000063458,,ENSG00000148655,ortholog_one2one,[],88.0531
Majin,ENSMUSG00000024786,,ENSG00000168070,ortholog_one2one,[],62.5
1700123O20Rik,ENSMUSG00000040822,,ENSG00000179933,ortholog_one2one,[],83.5714
1810009A15Rik,ENSMUSG00000071653,,ENSG00000278615,ortholog_one2one,[],80.4878
1810010H24Rik,ENSMUSG00000078607,,ENSG00000186665,ortholog_one2one,[],70.7965
Tmem273,ENSMUSG00000041707,,ENSG00000204161,ortholog_one2one,[],51.938
Tcim,ENSMUSG00000056313,,ENSG00000176907,ortholog_one2one,[],91.5094
Hapstr1,ENSMUSG00000022507,,ENSG00000182831,ortholog_one2one,[],98.5455
Rbis,ENSMUSG00000078784,,ENSG00000176731,ortholog_one2one,[],77.0
Timm29,ENSMUSG00000048429,,ENSG00000142444,ortholog_one2one,[],81.1538
1810030O07Rik,ENSMUSG00000044148,,ENSG00000185753,ortholog_one2one,[],86.5204
